latitude,longitude,date,rainfall_mm,soil_moisture,slope,elevation,abs_lat,label
27.0076,88.251,2015-06-27,22.2,0.7078,8.08,2273.0,27.008,1
24.1419,94.1078,2015-08-01,17.3,0.7879,1.138,1187.0,24.142,1
26.49349035,91.72137514,2015-09-01,12.3,0.8103,0.36,62.0,26.493,1
24.7339,93.9161,2010-03-27,2.5,0.2931,5.665,886.0,24.734,1
22.59420297,92.16404889,2017-06-12,210.3,0.7163,0.167,50.0,22.594,1
25.69111465,94.09483333,2017-07-12,15.4,0.8435,8.068,1385.0,25.691,1
23.5397,93.3783,2016-07-28,3.1,0.6867,16.036,1582.0,23.54,1
26.1445447,94.24416766,2017-07-01,19.0,0.8542,9.356,1271.0,26.145,1
26.10973183,91.80317334,2017-07-06,28.1,0.8272,0.257,65.0,26.11,1
24.8286,93.5935,2011-05-31,23.2,0.7367,16.179,777.0,24.829,1
26.1984,94.8158,2010-08-19,31.0,0.7978,17.53,1849.0,26.198,1
25.1553,93.028,2010-04-01,15.3,0.8015,9.296,565.0,25.155,1
25.4191,94.1079,2011-07-07,6.8,0.8229,5.5,1395.0,25.419,1
24.837,93.9128,2010-10-08,25.3,0.801,2.838,813.0,24.837,1
25.6703,94.1095,2011-07-11,12.8,0.8309,3.522,1448.0,25.67,1
27.092916,93.61882043,2017-07-09,76.6,0.8511,3.515,346.0,27.093,1
25.6157,96.3167,2014-07-04,15.7,0.814,4.739,277.0,25.616,1
25.67836832,91.9234343,2017-06-17,56.6,0.8492,6.947,992.0,25.678,1
25.3612,92.2845,2010-04-21,18.3,0.799,1.529,1227.0,25.361,1
24.4638,92.4943,2016-05-18,31.7,0.7121,1.935,90.0,24.464,1
24.8063,93.9482,2011-07-06,0.8,0.8123,0.057,783.0,24.806,1
25.5145,90.2023,2015-08-18,50.3,0.7873,2.001,279.0,25.515,1
26.1771,91.7599,2013-05-11,21.7,0.8091,0.47,66.0,26.177,1
22.9167,93.6833,2013-08-23,5.1,0.701,16.301,1555.0,22.917,1
24.6005,92.3814,2010-06-03,3.1,0.7535,0.34,70.0,24.601,1
22.44394492,91.97239273,2017-06-13,97.5,0.7218,0.961,2.0,22.444,1
23.9723,96.8566,2010-10-06,13.9,0.7981,2.719,389.0,23.972,1
25.3098633,94.48214677,2010-07-29,27.7,0.7729,9.065,1559.0,25.31,1
22.77997113,92.03513581,2017-07-02,12.0,0.6896,3.435,93.0,22.78,1
26.9978,88.167,2015-07-01,26.5,0.7085,2.17,2158.0,26.998,1
25.4196,94.1054,2010-07-29,29.0,0.8149,8.482,1415.0,25.42,1
24.819,94.3551,2015-07-31,63.1,0.7147,17.176,1615.0,24.819,1
