latitude,longitude,date,rainfall_mm,soil_moisture,elevation,slope,label
27.23517,94.10357,2023-07-05,37.0,0.6887,97.0,0.058,1
27.08694,93.60987,2022-08-08,21.7,0.6621,317.0,7.394,1
25.67467,94.11099,2022-05-13,39.0,0.8461,1461.0,8.619,1
27.23517,94.10357,2023-06-22,36.7,0.7065,97.0,0.058,1
26.75367,92.10215,2022-05-17,107.9,0.8564,110.0,0.354,1
27.47989,94.90837,2023-06-21,33.1,0.8506,108.0,0.116,1
27.47989,94.90837,2013-07-19,1.7,0.7968,108.0,0.116,1
23.92703,92.48968,2023-04-22,0.5,0.5783,860.0,4.797,1
27.23517,94.10357,2022-05-15,47.1,0.7228,97.0,0.058,1
24.80427,93.12148,2022-05-11,54.7,0.6644,34.0,0.233,1
22.89247,92.74218,2019-08-07,14.3,0.7045,1000.0,13.668,1
26.17668,90.62634,2013-08-10,19.5,0.7117,40.0,2.923,1
26.75751,94.20306,2011-09-04,11.7,0.7515,92.0,0.126,1
27.16414,95.78127,2022-06-29,18.5,0.8451,319.0,4.996,1
27.48333,94.58333,2023-06-27,31.5,0.8333,109.0,0.621,1
26.32293,91.00632,2023-07-16,35.8,0.6951,46.0,0.077,1
27.48333,94.58333,2023-08-13,5.3,0.8203,109.0,0.621,1
26.51167,93.95951,2023-08-07,14.6,0.839,97.0,0.051,1
26.32293,91.00632,2010-09-14,25.5,0.6913,46.0,0.077,1
26.63333,92.8,2022-06-19,18.2,0.8383,70.0,0.115,1
26.51167,93.95951,2013-05-29,10.3,0.834,97.0,0.051,1
26.47703,90.55815,2013-07-05,8.9,0.7488,59.0,0.193,1
27.47989,94.90837,2022-07-17,28.6,0.8333,108.0,0.116,1
26.32293,91.00632,2023-06-25,7.7,0.6413,46.0,0.077,1
27.48905,95.35992,2022-10-10,3.8,0.827,127.0,0.182,1
27.23517,94.10357,2023-07-18,0.0,0.6381,97.0,0.058,1
25.67467,94.11099,2022-05-23,17.5,0.8212,1461.0,8.619,1
26.51167,93.95951,2023-06-21,5.9,0.8346,97.0,0.051,1
26.00281,92.85605,2022-05-22,10.6,0.8211,74.0,0.118,1
27.47989,94.90837,2023-06-22,39.8,0.8419,108.0,0.116,1
26.47703,90.55815,2023-07-16,2.7,0.8085,59.0,0.193,1
27.47989,94.90837,2022-05-17,65.5,0.8506,108.0,0.116,1
26.43937,91.44041,2023-06-21,65.8,0.854,53.0,0.154,1
26.63333,92.8,2023-06-23,4.9,0.8085,70.0,0.115,1
26.32293,91.00632,2017-07-15,4.0,0.6733,46.0,0.077,1
26.17668,90.62634,2021-09-03,3.9,0.809,40.0,2.923,1
26.35,92.66667,2023-08-27,30.0,0.8518,60.0,0.115,1
26.32293,91.00632,2021-09-01,6.4,0.6715,46.0,0.077,1
26.95,94.16667,2022-05-16,153.2,0.857,88.0,0.577,1
27.57417,91.795,2016-04-22,29.8,0.7126,2312.0,11.413,1
27.48333,94.58333,2011-06-04,19.9,0.737,109.0,0.621,1
24.60117,92.84785,2010-07-28,6.0,0.674,32.0,0.057,1
26.43937,91.44041,2023-06-22,39.9,0.8456,53.0,0.154,1
26.35,92.66667,2022-05-20,7.1,0.821,60.0,0.115,1
26.40107,90.27286,2022-06-17,99.7,0.7265,49.0,0.126,1
26.75367,92.10215,2022-06-23,1.5,0.7997,110.0,0.354,1
23.72894,92.71791,2013-05-11,6.4,0.6617,1082.0,1.909,1
26.78196,92.44907,2014-07-14,37.2,0.7052,101.0,0.346,1
27.48333,94.58333,2022-10-10,74.6,0.8496,109.0,0.621,1
26.35,92.66667,2022-05-27,5.3,0.799,60.0,0.115,1
26.51167,93.95951,2023-08-30,0.3,0.7595,97.0,0.051,1
27.48333,94.58333,2023-08-10,24.4,0.8433,109.0,0.621,1
26.63333,92.8,2023-06-25,24.1,0.8281,70.0,0.115,1
26.35,92.66667,2022-07-02,23.6,0.8142,60.0,0.115,1
22.03667,88.04861,2023-06-22,8.7,0.656,6.0,0.19,1
26.01856,89.98564,2022-06-27,26.9,0.8383,34.0,0.308,1
26.35,92.66667,2023-06-23,4.4,0.8095,60.0,0.115,1
27.23517,94.10357,2012-07-29,21.8,0.6989,97.0,0.058,1
26.95,94.16667,2023-08-30,0.0,0.7678,88.0,0.577,1
26.95,94.16667,2022-05-15,80.9,0.8472,88.0,0.577,1
24.68394,92.56097,2022-07-07,4.1,0.7803,27.0,0.117,1
27.13177,95.73486,2016-04-24,23.9,0.7815,367.0,2.129,1
26.75367,92.10215,2023-08-27,62.9,0.8487,110.0,0.354,1
27.48333,94.58333,2014-07-08,9.3,0.7342,109.0,0.621,1
27.66904,95.86395,2022-06-28,86.9,0.849,146.0,0.236,1
26.17668,90.62634,2023-06-23,5.6,0.8274,40.0,2.923,1
26.51167,93.95951,2023-09-01,1.2,0.7413,97.0,0.051,1
26.88412,95.31946,2022-06-30,54.9,0.8522,809.0,8.236,1
26.01856,89.98564,2022-06-23,14.3,0.7576,34.0,0.308,1
26.32293,91.00632,2022-06-28,38.0,0.7184,46.0,0.077,1
27.48905,95.35992,2015-02-19,0.2,0.5438,127.0,0.182,1
26.75751,94.20306,2010-06-17,8.5,0.8128,92.0,0.126,1
22.03667,88.04861,2023-08-27,1.5,0.8169,6.0,0.19,1
27.48333,94.58333,2016-09-01,30.6,0.7299,109.0,0.621,1
22.03667,88.04861,2023-07-05,16.4,0.7642,6.0,0.19,1
26.78196,92.44907,2023-08-30,0.1,0.6451,101.0,0.346,1
