latitude,longitude,date,rainfall_mm,soil_moisture,slope,elevation,abs_lat,label
27.0076,88.251,2015-06-27,22.2,0.7078,,,27.008,1
24.1419,94.1078,2015-08-01,17.3,0.7879,,,24.142,1
26.49349035,91.72137514,2015-09-01,12.3,0.8103,,,26.493,1
27.322,88.6087,2010-04-17,4.7,0.647,,,27.322,1
27.8122,89.9019,2010-07-22,28.8,0.7103,,,27.812,1
24.7339,93.9161,2010-03-27,2.5,0.2931,,,24.734,1
22.59420297,92.16404889,2017-06-12,210.3,0.7163,,,22.594,1
27.1027,88.1218,2016-07-26,172.7,0.7142,,,27.103,1
25.69111465,94.09483333,2017-07-12,15.4,0.8435,,,25.691,1
23.5397,93.3783,2016-07-28,3.1,0.6867,,,23.54,1
26.1445447,94.24416766,2017-07-01,19.0,0.8542,,,26.145,1
26.10973183,91.80317334,2017-07-06,28.1,0.8272,,,26.11,1
24.8286,93.5935,2011-05-31,23.2,0.7367,,,24.829,1
26.1984,94.8158,2010-08-19,31.0,0.7978,,,26.198,1
28.235,94.9612,2016-07-19,22.2,0.7139,,,28.235,1
25.1553,93.028,2010-04-01,15.3,0.8015,,,25.155,1
25.4191,94.1079,2011-07-07,6.8,0.8229,,,25.419,1
24.837,93.9128,2010-10-08,25.3,0.801,,,24.837,1
25.6703,94.1095,2011-07-11,12.8,0.8309,,,25.67,1
27.092916,93.61882043,2017-07-09,76.6,0.8511,,,27.093,1
27.8997,93.3497,2010-04-02,20.2,0.7093,,,27.9,1
25.6157,96.3167,2014-07-04,15.7,0.814,,,25.616,1
25.67836832,91.9234343,2017-06-17,56.6,0.8492,,,25.678,1
27.6802471,93.62592773,2017-04-22,7.0,0.6903,,,27.68,1
27.6438,93.871,2016-06-12,11.6,0.7049,,,27.644,1
27.16009861,91.6036289,2017-07-08,45.7,0.7119,,,27.16,1
25.3612,92.2845,2010-04-21,18.3,0.799,,,25.361,1
24.4638,92.4943,2016-05-18,31.7,0.7121,,,24.464,1
28.10756941,94.18315697,2017-06-20,3.9,0.7003,,,28.108,1
24.8063,93.9482,2011-07-06,0.8,0.8123,,,24.806,1
25.5145,90.2023,2015-08-18,50.3,0.7873,,,25.515,1
26.1771,91.7599,2013-05-11,21.7,0.8091,,,26.177,1
22.9167,93.6833,2013-08-23,5.1,0.701,,,22.917,1
24.6005,92.3814,2010-06-03,3.1,0.7535,,,24.601,1
22.44394492,91.97239273,2017-06-13,97.5,0.7218,,,22.444,1
23.9723,96.8566,2010-10-06,13.9,0.7981,,,23.972,1
25.3098633,94.48214677,2010-07-29,27.7,0.7729,,,25.31,1
22.77997113,92.03513581,2017-07-02,12.0,0.6896,,,22.78,1
26.9978,88.167,2015-07-01,26.5,0.7085,,,26.998,1
25.4196,94.1054,2010-07-29,29.0,0.8149,,,25.42,1
24.819,94.3551,2015-07-31,63.1,0.7147,,,24.819,1
27.0599,88.4674,2013-09-16,0.0,0.5558,,,27.06,1
27.174,95.8011,2012-06-25,46.1,0.8,,,27.174,1
26.8545,88.3372,2011-09-28,1.1,0.6858,,,26.855,1
26.4205,94.9731,2013-08-16,19.2,0.76,,,26.421,1
27.0366,88.263,2010-08-05,14.8,0.6934,,,27.037,1
27.98531715,94.21263589,2017-07-04,79.5,0.7159,,,27.985,1
25.4749,93.1477,2010-10-09,36.5,0.8059,,,25.475,1
23.591,92.9296,2010-09-13,15.4,0.7059,,,23.591,1
27.04040393,89.90633458,2017-07-08,47.7,0.7086,,,27.04,1
25.73318099,93.99655231,2017-05-16,16.5,0.852,,,25.733,1
24.6869,93.9157,2011-07-25,1.7,0.7144,,,24.687,1
25.481623,93.141692,2017-04-04,49.0,0.8381,,,25.482,1
23.73354779,92.74744512,2017-06-10,15.4,0.6993,,,23.734,1
27.583849,91.876945,2017-07-11,7.3,0.7024,,,27.584,1
26.1666,91.7042,2015-09-23,30.3,0.7745,,,26.167,1
27.07671517,93.59755441,2017-07-09,94.1,0.7251,,,27.077,1
